Fieldname_HEAL,Fieldname_phase1,Data Type,Lookup Needed,Algorithm,Key,Table_HEAL,Table_phase1,NOT NULL,Default Value,Field Status,Instrument,Description,Comments
changeComplete,n/a,boolean,,,,SuggestedChanges,n/a,,,New,n/a,Whether suggested changes have been made or not? (Yes/No),
ProposalID,proposal_id,int,,,primary/foreign (Proposal),UtahRecommendation,proposal,TRUE,ERROR MESSAGE,,admin_review,Proposal ID,
network,,text (all that apply),,,,UtahRecommendation,,,,,,,do not collect
tic_ric,tic_ric_assign,text/dropdown,,,,UtahRecommendation,proposal,TRUE,ERROR MESSAGE,,assign_ticric,Institution to which this study is assigned,
primaryStudyType,n/a,text/dropdown,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Primary type of study,
linkedData,,boolean,,,,UtahRecommendation,,,,,,,do not collect
linkedData_studyShortName,,text,,,,UtahRecommendation,,,,,,,do not collect
studyDesign,n/a,text ,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Type of study design (interventional/observational),
randomized,n/a,boolean,,,,UtahRecommendation,n/a,FALSE,,New,n/a,This study is randomized (Yes/No),
randomizationUnit,n/a,text,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Please select the randomization unit (Cluster/Individual) if answer to question above is 'yes',
randomizationFeature,n/a,text (all that apply),,,,UtahRecommendation,n/a,FALSE,,New,n/a,Please select all the randomization feature that apply if the answer to 'randomized' question is 'yes',
ascertainment,n/a,text ,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Type of ascertainment (prospective/retrospective),
observations,n/a,text ,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Type of observation (cross-sectional/longitudinal),
phase,,text/dropdown,,,,UtahRecommendation,,,,,,,
pilot_demoStudy,n/a,boolean,,,,UtahRecommendation,n/a,FALSE,,New,n/a,What type of study is it? (Pilot/Demo),
registry,,boolean,,,,UtahRecommendation,,,,,,,
EHRdataTransfer,,boolean,,,,UtahRecommendation,,,,,,,
EHRdataTransfer_option,,text (full/partial),,,,UtahRecommendation,,,,,,,
consent,n/a,boolean,,,,UtahRecommendation,n/a,TRUE,ERROR MESSAGE,New,n/a,Does this study require informed consent for participants? (Yes/No),
EFIC,n/a,boolean,,,,UtahRecommendation,n/a,TRUE,ERROR MESSAGE,New,n/a,Is EFIC (exception from informed consent) used?,
IRBtype,n/a,text (all that apply),,,,UtahRecommendation,n/a,TRUE,ERROR MESSAGE,New,n/a,Select the types of IRB used for this study,
regulatoryClassification,n/a,text (all that apply),,,,UtahRecommendation,n/a,FALSE,,New,n/a,Select applicable regulatory status(es),
clinicalTrialsIdentifier,n/a,int/text,,,,UtahRecommendation,n/a,FALSE,,New,n/a,"If applicable, enter the ClinicalTrials.gov identifier",
dsmb_dmcUsed,n/a,boolean,,,,UtahRecommendation,n/a,TRUE,ERROR MESSAGE,New,n/a,Is a DSMB/DMC used in this study?,
plannedNumberOfSites,,int,,,,UtahRecommendation,,,,,,Number of planned sites to be activated at study onset,
enrollmentGoal,n/a,text,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Total projected sample size at study onset,
initialProjectedEnrollmentDuration,n/a,int,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Initial projected enrollment duration in months,
leadPInames,,text,,,,UtahRecommendation,,,,,,,
awardeeSite,,text,,,,UtahRecommendation,,,,,,,do not collect
primaryFundingType,n/a,text/dropdown,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Select the original/primary funding type utilized to support the overall project,
primarilyFundedByInfrastructure,n/a,boolean,,,,UtahRecommendation,n/a,FALSE,,New,n/a,Is primary funding source to support the study considered network infrastructure funding?,
fundingSource,funding_source,text,yes,,foreign (ProposalFunding),UtahRecommendation,funding,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Current funding source for the study/trial,
fundingAwardDate,,date,,,,UtahRecommendation,,,,,,Date study funding awarded (for primary funding source),
previousFunding,,boolean,,,,UtahRecommendation,,,,,,,do not collect
